City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,63.0,57,99,5.01,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,77.58,73,87,8.32,light rain
2,Yerbogachen,RU,61.2767,108.0108,19.78,88,100,7.49,light snow
3,Bengkulu,ID,-3.8004,102.2655,84.96,64,100,10.49,moderate rain
4,Georgetown,MY,5.4112,100.3354,87.8,70,20,2.3,few clouds
5,Jamestown,US,42.097,-79.2353,26.6,74,1,11.5,clear sky
6,Barsovo,RU,61.1667,73.1667,33.8,100,75,11.18,broken clouds
7,Vaini,TO,-21.2,-175.2,82.4,78,75,5.75,broken clouds
8,Magdalena,PH,14.1999,121.429,91.0,54,5,10.0,clear sky
9,Omboue,GA,-1.5746,9.2618,77.2,89,100,3.74,moderate rain
10,Punta Arenas,CL,-53.15,-70.9167,44.6,93,90,12.66,moderate rain
11,Ushuaia,AR,-54.8,-68.3,44.6,87,90,20.71,light intensity drizzle
12,Vardo,NO,70.3705,31.1107,30.67,75,59,7.27,broken clouds
13,Luderitz,NA,-26.6481,15.1594,68.81,47,5,15.19,clear sky
14,Mgandu,TZ,-5.95,34.1333,58.12,99,84,5.03,light rain
15,Sao Filipe,CV,14.8961,-24.4956,72.99,69,87,7.31,overcast clouds
16,Torma,EE,58.8128,26.7383,32.0,100,90,6.91,overcast clouds
17,Garowe,SO,8.4054,48.4845,74.62,61,4,5.61,clear sky
18,Hobyo,SO,5.3505,48.5268,82.85,73,42,7.94,scattered clouds
19,Boyolangu,ID,-8.1181,111.8935,88.45,59,35,1.81,scattered clouds
20,Rosia,RO,45.8167,24.3167,43.0,93,75,3.06,broken clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,57,1.01,broken clouds
22,Ribeira Grande,PT,38.5167,-28.7,60.62,89,100,30.87,overcast clouds
23,Miyako,JP,39.6367,141.9525,61.18,58,84,13.09,broken clouds
24,Camargo,MX,27.6667,-105.1667,68.32,51,79,16.82,broken clouds
25,Kaitangata,NZ,-46.2817,169.8464,57.0,55,100,5.99,overcast clouds
26,Bluff,NZ,-46.6,168.3333,63.0,57,100,5.01,overcast clouds
27,Albany,US,42.6001,-73.9662,30.99,60,21,5.79,few clouds
28,Pangnirtung,CA,66.1451,-65.7125,-17.59,65,0,6.76,clear sky
29,Korla,CN,41.7597,86.1469,52.93,21,100,19.82,overcast clouds
30,Port Elizabeth,ZA,-33.918,25.5701,55.4,88,20,5.75,few clouds
31,Mar Del Plata,AR,-38.0023,-57.5575,66.99,88,0,6.91,clear sky
32,Hengshui,CN,37.7322,115.7011,57.87,36,91,16.44,overcast clouds
33,Recco,IT,44.3623,9.1435,53.01,89,0,1.01,clear sky
34,Roebourne,AU,-20.7833,117.1333,95.68,22,1,10.69,clear sky
