City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,63.0,overcast clouds,-46.1927,168.8643,Ellie's Villa
22,Ribeira Grande,PT,60.62,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
23,Miyako,JP,61.18,broken clouds,39.6367,141.9525,Hotel Route Inn Miyako
26,Bluff,NZ,63.0,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
63,Port Alfred,ZA,60.12,scattered clouds,-33.5906,26.891,The Halyards Hotel
84,Cape Town,ZA,60.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
90,Chuy,UY,61.92,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
97,Hermanus,ZA,60.01,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
134,Paraguacu Paulista,BR,61.57,clear sky,-22.4128,-50.5758,Hotel Água das Araras
139,Christchurch,NZ,62.6,overcast clouds,-43.5333,172.6333,The George
154,Lagoa,PT,60.24,overcast clouds,39.05,-27.9833,Casa Das Faias
157,San Patricio,US,62.6,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
172,Antofagasta,CL,60.8,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
197,Villa Maria,AR,60.01,clear sky,-32.4075,-63.2402,Hotel Milenium
213,Tuatapere,NZ,63.0,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
214,Vila Franca Do Campo,PT,60.8,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
224,Dunedin,NZ,62.01,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
235,Salta,AR,62.6,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
267,Nador,MA,60.8,clear sky,35.174,-2.9287,Hôtel La Giralda
273,Durango,MX,61.72,overcast clouds,24.8333,-104.8333,
294,East London,ZA,61.29,scattered clouds,-33.0153,27.9116,Tu Casa
352,Galveston,US,61.0,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
364,Kamina,CD,62.2,broken clouds,-8.7386,24.9906,Guest House Florvia
371,Necochea,AR,60.01,clear sky,-38.5473,-58.7368,dyd -mar Hotel
395,Deyang,CN,61.54,overcast clouds,31.1302,104.382,Milletholly Resort Hotel
404,Yabelo,ET,60.35,overcast clouds,4.8833,38.0833,Asnakech W/michael
407,San Angelo,US,62.6,clear sky,31.4638,-100.43700000000001,"Motel 6 San Angelo, TX"
434,Bonga,ET,60.66,overcast clouds,7.2833,36.2333,Abelena bare and restorant
457,Mazarron,ES,60.01,clear sky,37.5992,-1.3149,Apartamentos Oasis de las Palmeras
535,Miles City,US,62.6,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
564,Waddan,LY,62.24,clear sky,29.1614,16.139,محل الشريف محمد العايب
569,Hun,LY,62.69,clear sky,29.1268,15.9477,Alrwasi Hotel
594,Hokitika,NZ,62.02,moderate rain,-42.7167,170.9667,Beachfront Hotel Hokitika
615,Porto Santo,PT,60.8,broken clouds,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
621,Los Andes,CL,61.0,clear sky,-32.8337,-70.5983,Hotel Los Andes
640,Susanville,US,60.8,clear sky,40.4163,-120.65299999999999,Red Lion Inn & Suites Susanville
675,Hwange,ZW,61.03,scattered clouds,-18.3693,26.5019,Hwange Colliery Guest House
687,Waipawa,NZ,62.6,broken clouds,-41.4122,175.5153,Tora Coastal Walk
691,Gimbi,ET,62.44,broken clouds,9.1667,35.8333,Sam home
